OrdealRef,Trialref,Ordealexists,Ordealdate,Ordealdate_as_date,Ordealtype
OD/JO/10,T/JO/395,1,7/1/1661,7/1/1961 0:00:00,Searching
OD/JO/100,T/JO/901,1,4/1/1662,4/1/1962 0:00:00,Pricking
OD/JO/101,T/JO/899,1,4/1/1662,4/1/1962 0:00:00,Pricking
OD/JO/102,T/JO/898,1,4/1/1662,4/1/1962 0:00:00,Pricking
OD/JO/103,T/JO/900,1,4/1/1662,4/1/1962 0:00:00,Pricking
OD/JO/104,T/JO/897,1,4/1/1662,4/1/1962 0:00:00,Pricking
OD/JO/105,T/JO/1018,1,1662,6/1/1962 0:00:00,Pricking
OD/JO/11,T/JO/400,1,7/1/1661,7/1/1961 0:00:00,Searching
OD/JO/12,T/JO/401,1,7/1/1661,7/1/1961 0:00:00,Searching
OD/JO/24,T/JO/575,1,6/1/1649,6/1/1949 0:00:00,Bierricht (corpse bleeds)
OD/JO/3,T/JO/91,1,6/1/1649,6/1/1949 0:00:00,Pricking
OD/JO/4,T/JO/148,1,1650,6/1/1950 0:00:00,Pricking
OD/JO/49,T/JO/1421,1,1644,6/1/1944 0:00:00,Bierricht (corpse bleeds)
OD/JO/50,T/JO/1456,1,23/11/1649,11/23/1949 0:00:00,Searching
OD/JO/51,T/JO/1457,1,23/11/1649,11/23/1949 0:00:00,Searching
OD/JO/52,T/JO/1458,1,23/11/1649,11/23/1949 0:00:00,Searching
OD/JO/53,T/JO/1459,1,23/11/1649,11/23/1949 0:00:00,Searching
OD/JO/54,T/JO/1534,1,9/1/1649,9/1/1949 0:00:00,Pricking
OD/JO/55,T/JO/1536,1,12/1/1649,12/1/1949 0:00:00,Pricking
OD/JO/61,T/JO/1642,1,12/1/1649,12/1/1949 0:00:00,Pricking
OD/JO/62,T/JO/1643,1,12/1/1649,12/1/1949 0:00:00,Pricking
OD/JO/63,T/JO/1644,1,12/1/1649,12/1/1949 0:00:00,Pricking
OD/JO/64,T/JO/1645,1,12/1/1649,12/1/1949 0:00:00,Pricking
OD/JO/65,T/JO/1646,1,12/1/1649,12/1/1949 0:00:00,Pricking
OD/JO/66,T/JO/1647,1,12/1/1649,12/1/1949 0:00:00,Pricking
OD/JO/67,T/JO/1648,1,12/1/1649,12/1/1949 0:00:00,Pricking
OD/JO/68,T/JO/1649,1,12/1/1649,12/1/1949 0:00:00,Pricking
OD/JO/69,T/JO/1650,1,12/1/1649,12/1/1949 0:00:00,Pricking
OD/JO/70,T/JO/1651,1,12/1/1649,12/1/1949 0:00:00,Pricking
OD/JO/71,T/JO/1663,1,7/1/1661,7/1/1961 0:00:00,Pricking
OD/JO/72,T/JO/1664,1,8/1/1661,8/1/1961 0:00:00,Pricking
OD/JO/73,T/JO/1665,1,8/1/1661,8/1/1961 0:00:00,Pricking
OD/JO/74,T/JO/1666,1,8/1/1661,8/1/1961 0:00:00,Pricking
OD/JO/75,T/JO/1667,1,8/1/1661,8/1/1961 0:00:00,Pricking
OD/JO/76,T/JO/1669,1,1/1/1662,1/1/1962 0:00:00,Pricking
OD/JO/77,T/JO/1670,1,1/1/1662,1/1/1962 0:00:00,Pricking
OD/JO/78,T/JO/1671,1,1/1/1662,1/1/1962 0:00:00,Pricking
OD/JO/79,T/JO/1712,1,1661,6/1/1961 0:00:00,Searching
OD/JO/8,T/JO/393,1,7/1/1661,7/1/1961 0:00:00,Searching
OD/JO/80,T/JO/1713,1,1661,6/1/1961 0:00:00,Searching
OD/JO/86,T/JO/1789,1,1661,6/1/1961 0:00:00,Searching
OD/JO/87,T/JO/1790,1,1661,6/1/1961 0:00:00,Searching
OD/JO/88,T/JO/1791,1,1661,6/1/1961 0:00:00,Searching
OD/JO/89,T/LA/326,1,1661,6/1/1961 0:00:00,Searching
OD/JO/9,T/LA/319,1,7/1/1661,7/1/1961 0:00:00,Searching
OD/JO/90,T/JO/1876,1,6/1/1649,6/1/1949 0:00:00,Pricking
OD/JO/91,T/JO/1882,1,7/2/1662,2/7/1962 0:00:00,Searching
OD/JO/93,T/JO/2105,1,,,Searching
OD/JO/94,T/JO/2107,1,,,Searching
OD/JO/95,T/JO/2106,1,,,Searching
OD/JO/96,T/JO/831,1,1/1/1662,1/1/1962 0:00:00,Pricking
OD/JO/97,T/JO/833,1,1/1/1662,1/1/1962 0:00:00,Pricking
OD/JO/98,T/JO/834,1,1/1/1662,1/1/1962 0:00:00,Pricking
OD/JO/99,T/JO/832,1,1/1/1662,1/1/1962 0:00:00,Pricking
OD/LA/1,T/LA/10,1,,,Pricking
OD/LA/106,T/JO/627,1,7/1/1677,7/1/1977 0:00:00,Pricking
OD/LA/107,T/JO/1117,1,2/12/1649,12/2/1949 0:00:00,Pricking
OD/LA/108,T/JO/1118,1,1/12/1649,12/1/1949 0:00:00,Pricking
OD/LA/109,T/JO/1119,1,2/12/1649,12/2/1949 0:00:00,Pricking
OD/LA/110,T/JO/1120,1,2/12/1649,12/2/1949 0:00:00,Pricking
OD/LA/111,T/JO/1121,1,2/12/1649,12/2/1949 0:00:00,Pricking
OD/LA/112,T/JO/1122,1,2/12/1649,12/2/1949 0:00:00,Pricking
OD/LA/113,T/JO/1123,1,2/12/1649,12/2/1949 0:00:00,Pricking
OD/LA/114,T/JO/1208,1,4/1/1650,4/1/1950 0:00:00,Pricking
OD/LA/115,T/JO/628,1,7/1/1677,7/1/1977 0:00:00,Pricking
OD/LA/116,T/JO/1305,1,11/1/1597,11/1/1997 0:00:00,Pricking
OD/LA/117,T/JO/629,1,7/1/1677,7/1/1977 0:00:00,Pricking
OD/LA/118,T/JO/788,1,4/1/1650,4/1/1950 0:00:00,Pricking
OD/LA/119,T/JO/789,1,4/1/1650,4/1/1950 0:00:00,Pricking
OD/LA/120,T/JO/867,1,1661,6/1/1961 0:00:00,Pricking
OD/LA/121,T/JO/868,1,12/1/1661,12/1/1961 0:00:00,Pricking
OD/LA/122,T/JO/574,1,11/10/1649,10/11/1949 0:00:00,Pricking
OD/LA/123,T/JO/598,1,7/1/1678,7/1/1978 0:00:00,Pricking
OD/LA/124,T/JO/626,1,7/1/1677,7/1/1977 0:00:00,Pricking
OD/LA/125,T/JO/1074,1,8/1/1661,8/1/1961 0:00:00,Pricking
OD/LA/126,T/JO/1113,1,12/1/1649,12/1/1949 0:00:00,Pricking
OD/LA/127,T/JO/1114,1,2/12/1649,12/2/1949 0:00:00,Pricking
OD/LA/128,T/JO/1115,1,2/12/1649,12/2/1949 0:00:00,Pricking
OD/LA/129,T/JO/1116,1,2/12/1649,12/2/1949 0:00:00,Pricking
OD/LA/13,T/LA/288,1,1650,6/1/1950 0:00:00,Pricking
OD/LA/130,T/JO/1699,1,,,Pricking
OD/LA/131,T/LA/813,1,1632,6/1/1932 0:00:00,Pricking
OD/LA/14,T/LA/288,1,1661,6/1/1961 0:00:00,Pricking
OD/LA/15,T/LA/411,1,11/7/1661,7/11/1961 0:00:00,Pricking
OD/LA/16,T/LA/292,1,20/7/1661,7/20/1961 0:00:00,Pricking
OD/LA/17,T/LA/293,1,11/7/1661,7/11/1961 0:00:00,Pricking
OD/LA/18,T/LA/297,1,,,Pricking
OD/LA/19,T/LA/413,1,11/7/1661,7/11/1961 0:00:00,Pricking
OD/LA/2,T/LA/37,1,,,Pricking
OD/LA/20,T/LA/298,1,5/7/1661,7/5/1961 0:00:00,Pricking
OD/LA/21,T/LA/299,1,18/7/1661,7/18/1961 0:00:00,Pricking
OD/LA/22,T/LA/410,1,,,Pricking
OD/LA/23,T/LA/414,1,16/7/1661,7/16/1961 0:00:00,Pricking
OD/LA/26,T/LA/1075,1,,,Searching
OD/LA/27,T/LA/1161,1,,,Bierricht (corpse bleeds)
OD/LA/28,T/LA/1171,1,,,Pricking
OD/LA/29,T/LA/1172,1,,,Pricking
OD/LA/30,T/LA/1169,1,,,Pricking
OD/LA/31,T/LA/1170,1,,,Pricking
OD/LA/32,T/LA/302,1,18/6/1661,6/18/1961 0:00:00,Pricking
OD/LA/33,T/LA/1189,1,,,Pricking
OD/LA/34,T/LA/1191,1,,,Pricking
OD/LA/35,T/JO/1131,1,,,Pricking
OD/LA/36,T/JO/1133,1,,,Pricking
