ImprisonRef,Trialref,CentralTrialImprison,Imprisondate_as_date,Prison,Location,Moving,Fate_in_prison
IM/JO/10,T/JO/78,0,,Tolbooth,Haddington,0,
IM/JO/11,T/JO/79,0,,Tolbooth,Haddington,0,
IM/JO/12,T/JO/80,0,,Tolbooth,Haddington,0,
IM/JO/127,T/JO/416,1,,Tolbooth,Canongate,0,Released
IM/JO/128,T/JO/417,0,,Tolbooth,Stirling,0,
IM/JO/129,T/JO/420,0,3/1/1959 0:00:00,Tolbooth,Stirling,0,
IM/JO/13,T/JO/81,0,6/1/1930 0:00:00,Tolbooth,Haddington,0,
IM/JO/130,T/JO/422,0,3/1/1959 0:00:00,Tolbooth,Stirling,0,
IM/JO/131,T/JO/433,0,,,Dalkeith,0,
IM/JO/14,T/JO/82,0,,Tolbooth,Haddington,0,Released
IM/JO/141,T/LA/234,0,8/9/2015 0:00:00,Tolbooth,Linlithgow,0,
IM/JO/142,T/JO/511,0,,,,0,
IM/JO/143,T/LA/240,0,3/26/2017 0:00:00,,,0,
IM/JO/144,T/LA/239,0,3/1/2017 0:00:00,,,0,
IM/JO/145,T/LA/238,0,3/1/2017 0:00:00,,,0,
IM/JO/146,T/JO/513,0,,,,0,
IM/JO/147,T/JO/515,0,12/1/1943 0:00:00,Tolbooth,Queensferry,0,
IM/JO/148,T/JO/517,0,12/1/1943 0:00:00,Tolbooth,Queensferry,0,
IM/JO/149,T/JO/518,0,12/1/1943 0:00:00,Tolbooth,Queensferry,0,
IM/JO/15,T/JO/86,0,4/1/1930 0:00:00,Tolbooth,Haddington,0,
IM/JO/150,T/JO/519,0,12/1/1943 0:00:00,Tolbooth,Queensferry,0,
IM/JO/151,T/JO/520,0,12/1/1943 0:00:00,Tolbooth,Queensferry,0,
IM/JO/152,T/JO/521,0,12/1/1943 0:00:00,Tolbooth,Queensferry,0,
IM/JO/153,T/JO/522,0,12/1/1943 0:00:00,Tolbooth,Queensferry,0,
IM/JO/154,T/JO/523,0,3/1/1944 0:00:00,Tolbooth,Queensferry,0,
IM/JO/155,T/JO/529,0,,,Falkirk,0,
IM/JO/156,T/JO/539,0,4/1/1944 0:00:00,Tolbooth,Queensferry,0,Released
IM/JO/157,T/JO/573,0,,,Peebles,0,
IM/JO/158,T/JO/574,0,5/17/1949 0:00:00,,Peebles,0,
IM/JO/159,T/JO/575,0,6/1/1949 0:00:00,,Peebles,0,
IM/JO/16,T/JO/87,0,4/1/1930 0:00:00,Tolbooth,Haddington,0,
IM/JO/160,T/JO/577,0,10/1/1949 0:00:00,,Peebles,0,
IM/JO/161,T/JO/579,0,10/1/1949 0:00:00,,Peebles,0,
IM/JO/162,T/JO/580,0,10/1/1949 0:00:00,,Peebles,0,
