,Accused_familyRef,ActionDropped,Actiondropdate_as_date,Actiondroppedby,Arrest,ArrestDate_as_date,CaseRef,CentralTrialConfession,CentralTrialImprison,Cjtdate_as_date,Cjtorder,Commbody,CommissionRef,Commtype,Complaint,ComplaintRef,Complaint_type,Complaintdate_as_date,ConfessionRef,Confessiondate_as_date,Confessiondetails,Confessionlocation,Confessionrec,Confessionret,Confessiontext,Defence,DenuncRef,Denunc_exists,Denunc_text,Denuncdate_as_date,Exec_burgh,Exec_county,Exec_parish,Exec_presbytery,Exec_settlement,Execution,ExecutionDate_as_date,ExecutionPlace,Executionmethod,Fate_in_prison,Female_accusers,Fled,FledDate_as_date,High_status,ImprisonRef,Imprisondate_as_date,Involvement,Localwithcrep,Location,Male_accusers,Moving,Noreftocentral,OrdealRef,Ordealdate,Ordealdate_as_date,Ordealexists,Ordealtype,PersonRef,PostTrialNotes,Prison,Sentence,TrialDate_as_date,TrialNotes,TrialType,Trial_burgh,Trial_county,Trial_parish,Trial_presbytery,Trial_settlement,Verdict,Wherelodged
T/JO/1,,0.0,,,0.0,,C/EGD/2120,,,,0.0,1,CO/JO/1,1,,,,,,,,,,,,0.0,,,,,Aberdeen,,,,,1.0,,,Burn,,19.0,0.0,,0.0,,,,0.0,,25.0,,0.0,,,,,,,,,Execution,2/17/1997 0:00:00,,2.0,Aberdeen,Aberdeen,,Aberdeen,,Guilty,
T/JO/100,,0.0,,,0.0,,C/JO/2669,0,,,0.0,,,,,,,,CF/JO/30,1,0,,1,0,0,0.0,,,,,,,,,,0.0,,,,,0.0,0.0,,0.0,,,,0.0,,0.0,,0.0,,,,,,,,,,,No trial details.,2.0,,,,,,,
T/JO/1000,,0.0,,,0.0,,C/EGD/1474,0,,,0.0,1,CO/JO/873,1,,,,,CF/LA/611,1,0,1,1,0,1,0.0,,,,,,,,,,0.0,,,,,0.0,0.0,,0.0,,,,0.0,,0.0,,0.0,,,,,,,,,,,No details,2.0,,,,,,,
T/JO/1001,,0.0,,,0.0,,C/EGD/1558,4,,,0.0,1,CO/JO/878,1,,,,,CF/LA/612,4,4,4,4,4,4,0.0,,,,,,,,,,0.0,,,,,0.0,0.0,,0.0,,,,0.0,,0.0,,0.0,,,,,,,,,,,,2.0,,,,,,,
T/JO/1002,,0.0,,,0.0,,C/EGD/1681,0,,,0.0,1,CO/JO/879,1,,,,,CF/JO/717,,0,,1,0,0,0.0,,,,,,,,,,0.0,,,,,0.0,0.0,,0.0,,,,0.0,,0.0,,0.0,,,,,,,No details,,,,No details,2.0,,,,,,,
T/JO/1003,,0.0,,,0.0,,C/EGD/1680,0,,,0.0,1,CO/JO/881,1,,,,,CF/JO/425,1,0,,1,0,0,0.0,,,,,,,,,,0.0,,,,,0.0,0.0,,0.0,,,,0.0,,0.0,,0.0,,,,,,,No details,,,,No details,2.0,,,,,,,
T/JO/1004,,0.0,,,0.0,,C/EGD/1682,0,,,0.0,1,CO/JO/882,1,,,,,CF/JO/426,1,0,,1,0,0,0.0,,,,,,,,,,0.0,,,,,0.0,0.0,,0.0,,,,0.0,,0.0,,0.0,,,,,,,No details,,,,No details,2.0,,,,,,,
T/JO/1005,,0.0,,,0.0,,C/EGD/1683,0,,,0.0,1,CO/JO/883,1,,,,,CF/JO/427,1,0,,1,0,0,0.0,,,,,,,,,,0.0,,,,,0.0,0.0,,0.0,,,,0.0,,0.0,,0.0,,,,,,,No details,,,,No details,2.0,,,,,,,
T/JO/1006,,0.0,,,0.0,,C/JO/2902,0,,,0.0,1,CO/JO/884,1,,,,,CF/JO/428,1,0,,1,0,0,0.0,,,,,,,,,,0.0,,,,,0.0,0.0,,0.0,,,,0.0,,0.0,,0.0,,,,,,,No details,,,,No details,2.0,,,,,,,
T/JO/1007,,0.0,,,1.0,,C/EGD/1689,,0,,0.0,1,CO/JO/893,1,,,,,,,,,,,,0.0,,,,,,,,,,0.0,,,,,0.0,0.0,,0.0,IM/JO/296,1,,0.0,,0.0,0,0.0,,,,,,,No details,,,,No details,2.0,,,,,,,
T/JO/1008,,0.0,,,1.0,,C/EGD/1688,,0,,0.0,1,CO/JO/894,1,,,,,,,,,,,,0.0,,,,,,,,,,0.0,,,,,0.0,0.0,,0.0,IM/JO/297,1,,0.0,,0.0,0,0.0,,,,,,,No details,,,,No details,2.0,,,,,,,
T/JO/1009,,0.0,,,1.0,,C/EGD/1687,,0,,0.0,1,CO/JO/895,1,,,,,,,,,,,,0.0,,,,,,,,,,0.0,,,,,0.0,0.0,,0.0,IM/JO/298,1,,0.0,,0.0,0,0.0,,,,,,,No details,,,,No details,2.0,,,,,,,
T/JO/101,,0.0,,,0.0,,C/EGD/1316,,,,0.0,,,,,,,,,,,,,,,0.0,,,,,,,,,,0.0,,,,,0.0,0.0,,0.0,,,,0.0,,0.0,,0.0,,,,,,,,,,,,4.0,,,,,,,
T/JO/1010,,0.0,,,1.0,,C/EGD/1686,,0,,0.0,1,CO/JO/896,1,,,,,,,,,,,,0.0,,,,,,,,,,0.0,,,,,0.0,0.0,,0.0,IM/JO/299,1,,0.0,,0.0,0,0.0,,,,,,,No details,,,,No details,2.0,,,,,,,
T/JO/1011,,0.0,,,1.0,,C/EGD/1685,,0,,0.0,1,CO/JO/897,1,,,,,,,,,,,,0.0,,,,,,,,,,0.0,,,,,0.0,0.0,,0.0,IM/JO/300,1,,0.0,,0.0,0,0.0,,,,,,,No details,,,,No details,2.0,,,,,,,
T/JO/1012,,0.0,,,1.0,,C/EGD/1684,,0,,0.0,1,CO/JO/898,1,,,,,,,,,,,,0.0,,,,,,,,,,0.0,,,,,0.0,0.0,,0.0,IM/JO/301,1,,0.0,,0.0,0,0.0,,,,,,,No details,,,,No details,2.0,,,,,,,
T/JO/1013,,0.0,,,0.0,,C/EGD/1691,0,,,0.0,1,CO/JO/899,1,,,,,CF/JO/429,1,0,,1,0,0,0.0,,,,,,,,,,0.0,,,,,0.0,0.0,,0.0,,,,0.0,,0.0,,0.0,,,,,,,No details,,,,No details,2.0,,,,,,,
T/JO/1014,,0.0,,,0.0,,C/EGD/1690,0,,,0.0,1,CO/JO/900,1,,,,,CF/JO/430,1,0,,1,0,0,0.0,,,,,,,,,,0.0,,,,,0.0,0.0,,0.0,,,,0.0,,0.0,,0.0,,,,,,,No details,,,,No details,2.0,,,,,,,
T/JO/1015,,0.0,,,0.0,,C/EGD/1694,0,,,0.0,1,CO/JO/901,1,,,,,CF/JO/431,1,0,,1,0,0,0.0,,,,,,,,,,0.0,,,,,0.0,0.0,,0.0,,,,0.0,,0.0,,0.0,,,,,,,No details,,,,No details,2.0,,,,,,,
