ComplaintRef,Trialref,Complaint,Complaint_type,Complaintdate_as_date,Wherelodged,Accused_familyRef,PersonRef,Involvement
CP/JO/1,T/JO/82,1,Suspect's,6/1/1930 0:00:00,Privy Council,,,
CP/JO/22,T/JO/416,1,Suspect's,,King,,,
CP/JO/23,T/JO/417,1,Suspect's,8/2/1961 0:00:00,Privy Council,,,
CP/JO/24,T/JO/417,1,Suspect's,11/7/1961 0:00:00,Privy Council,,,
CP/JO/25,T/JO/420,1,Suspect's,8/2/1961 0:00:00,Privy Council,,,
CP/JO/26,T/JO/420,1,Suspect's,11/7/1961 0:00:00,Privy Council,,,
CP/JO/27,T/JO/422,1,Suspect's,8/2/1961 0:00:00,Privy Council,,,
CP/JO/28,T/JO/422,1,Suspect's,11/7/1961 0:00:00,Privy Council,,,
CP/JO/29,T/LA/320,1,Family member,,,AF/LA/100,,
CP/JO/30,T/JO/514,1,Suspect's,6/3/2029 0:00:00,Presbytery,,,
CP/JO/31,T/JO/539,1,Suspect's,8/20/1944 0:00:00,Privy Council,,,
CP/JO/32,T/JO/539,1,Suspect's,4/8/1944 0:00:00,Privy Council,,,
CP/JO/33,T/JO/598,1,Suspect's,9/1/1978 0:00:00,Privy Council,,,
CP/JO/50,T/JO/769,1,Suspect's,6/15/1965 0:00:00,Privy Council,,,
CP/JO/51,T/JO/770,1,Suspect's,1/11/1966 0:00:00,Privy Council,,,
CP/JO/52,T/JO/769,1,Family member,1/31/1967 0:00:00,Privy Council,,,
CP/JO/53,T/JO/830,1,Suspect's,6/1/1961 0:00:00,Privy Council,,,
CP/JO/77,T/JO/81,1,Suspect's,,Privy Council,,,
CP/JO/78,T/JO/78,1,Suspect's,,Privy Council,,,
CP/JO/79,T/JO/79,1,Suspect's,,Privy Council,,,
CP/JO/80,T/JO/80,1,Suspect's,,Privy Council,,,
CP/JO/81,T/LA/1055,1,Suspect's,6/1/1949 0:00:00,Privy Council,,,
CP/JO/82,T/JO/1018,1,Suspect's,8/1/1962 0:00:00,Privy Council,,,
CP/JO/83,T/JO/1018,1,Suspect's,8/1/1962 0:00:00,Privy Council,,,
CP/LA/10,T/LA/104,1,Suspect's,2/27/1934 0:00:00,Privy Council,,,
CP/LA/11,T/LA/172,1,Unknown,,,,,
CP/LA/12,T/LA/173,1,Family member,11/16/1998 0:00:00,Privy Council,AF/LA/60,,
CP/LA/13,T/LA/175,1,Other,3/3/1998 0:00:00,Privy Council,,LA/190,
CP/LA/14,T/LA/203,1,Other,3/3/1998 0:00:00,Privy Council,,LA/190,
CP/LA/15,T/LA/204,1,Family member,3/3/1998 0:00:00,Privy Council,AF/LA/62,,
CP/LA/16,T/LA/205,1,Family member,3/3/1998 0:00:00,Privy Council,AF/LA/63,,
CP/LA/17,T/LA/206,1,Other,5/21/2001 0:00:00,Privy Council,,LA/191,
CP/LA/18,T/LA/48,1,Suspect's,7/27/2005 0:00:00,Privy Council,,,
