Trialref,Exec_county,exec county lat,exec county long
T/JO/1421,Shetland,60.34560802,-1.23700898
T/JO/1423,Shetland,60.34560802,-1.23700898
T/LA/1003,Orkney,58.93525202,-2.74522498
T/LA/1103,Orkney,58.93525202,-2.74522498
T/LA/1104,Orkney,58.93525202,-2.74522498
T/LA/870,Orkney,58.93525202,-2.74522498
T/JO/1293,Aberdeen,57.1041518,-2.2058926
T/JO/1300,Aberdeen,57.1041518,-2.2058926
T/JO/1308,Aberdeen,57.1041518,-2.2058926
T/JO/1312,Aberdeen,57.1041518,-2.2058926
T/JO/1313,Aberdeen,57.1041518,-2.2058926
T/JO/1315,Aberdeen,57.1041518,-2.2058926
T/JO/1318,Aberdeen,57.1041518,-2.2058926
T/JO/1323,Aberdeen,57.1041518,-2.2058926
T/JO/1325,Aberdeen,57.1041518,-2.2058926
T/JO/1488,Aberdeen,57.1041518,-2.2058926
T/JO/1489,Aberdeen,57.1041518,-2.2058926
T/JO/1502,Aberdeen,57.1041518,-2.2058926
T/JO/1543,Aberdeen,57.1041518,-2.2058926
T/JO/1546,Aberdeen,57.1041518,-2.2058926
T/JO/1547,Aberdeen,57.1041518,-2.2058926
T/JO/1548,Aberdeen,57.1041518,-2.2058926
T/JO/1549,Aberdeen,57.1041518,-2.2058926
T/JO/203,Aberdeen,57.1041518,-2.2058926
T/JO/1180,Fife,56.0058839,-3.7395259
T/JO/1181,Fife,56.0058839,-3.7395259
T/JO/1677,Fife,56.0058839,-3.7395259
T/JO/523,Linlithgow,55.9633796,-3.6396874
T/JO/524,Linlithgow,55.9633796,-3.6396874
T/JO/542,Linlithgow,55.9633796,-3.6396874
T/JO/796,Linlithgow,55.9633796,-3.6396874
T/JO/797,Linlithgow,55.9633796,-3.6396874
T/JO/788,Haddington,55.9470505,-2.8120325
T/JO/789,Haddington,55.9470505,-2.8120325
T/JO/90,Haddington,55.9470505,-2.8120325
T/LA/1109,Haddington,55.9470505,-2.8120325
T/LA/1110,Haddington,55.9470505,-2.8120325
T/LA/1111,Haddington,55.9470505,-2.8120325
T/LA/1112,Haddington,55.9470505,-2.8120325
T/LA/1113,Haddington,55.9470505,-2.8120325
T/LA/1114,Haddington,55.9470505,-2.8120325
T/LA/1937,Haddington,55.9470505,-2.8120325
T/JO/1515,Edinburgh,55.8904228,-3.3330187
T/JO/330,Edinburgh,55.8904228,-3.3330187
T/JO/331,Edinburgh,55.8904228,-3.3330187
T/JO/332,Edinburgh,55.8904228,-3.3330187
T/JO/341,Edinburgh,55.8904228,-3.3330187
T/JO/787,Edinburgh,55.8904228,-3.3330187
T/LA/1820,Edinburgh,55.8904228,-3.3330187
T/LA/262,Edinburgh,55.8904228,-3.3330187
T/LA/263,Edinburgh,55.8904228,-3.3330187
T/LA/265,Edinburgh,55.8904228,-3.3330187
T/LA/266,Edinburgh,55.8904228,-3.3330187
T/LA/288,Edinburgh,55.8904228,-3.3330187
T/LA/292,Edinburgh,55.8904228,-3.3330187
T/LA/293,Edinburgh,55.8904228,-3.3330187
T/LA/297,Edinburgh,55.8904228,-3.3330187
T/LA/298,Edinburgh,55.8904228,-3.3330187
T/LA/299,Edinburgh,55.8904228,-3.3330187
T/LA/53,Edinburgh,55.8904228,-3.3330187
T/LA/54,Edinburgh,55.8904228,-3.3330187
T/JO/1131,Renfrew,55.8609671,-4.4206419
T/JO/1133,Renfrew,55.8609671,-4.4206419
T/JO/614,Renfrew,55.8609671,-4.4206419
T/JO/616,Renfrew,55.8609671,-4.4206419
T/JO/617,Renfrew,55.8609671,-4.4206419
T/LA/1189,Renfrew,55.8609671,-4.4206419
T/LA/1190,Renfrew,55.8609671,-4.4206419
T/LA/1191,Renfrew,55.8609671,-4.4206419
T/LA/1199,Renfrew,55.8609671,-4.4206419
T/LA/1201,Renfrew,55.8609671,-4.4206419
T/JO/205,Bute,55.7213369,-5.2218257
T/JO/590,Peebles,55.637283,-3.2076422
T/JO/591,Peebles,55.637283,-3.2076422
T/LA/1119,Ayr,55.4242149,-4.6677211
T/LA/1120,Ayr,55.4242149,-4.6677211
T/LA/1121,Ayr,55.4242149,-4.6677211
T/LA/594,Ayr,55.4242149,-4.6677211
T/LA/595,Ayr,55.4242149,-4.6677211
T/LA/682,Ayr,55.4242149,-4.6677211
T/LA/1122,Dumfries,55.0415437,-3.6594178
T/LA/1123,Dumfries,55.0415437,-3.6594178
T/LA/1141,Dumfries,55.0415437,-3.6594178
T/LA/1142,Dumfries,55.0415437,-3.6594178
T/LA/1144,Dumfries,55.0415437,-3.6594178
T/LA/1145,Dumfries,55.0415437,-3.6594178
T/LA/1146,Dumfries,55.0415437,-3.6594178
T/LA/1148,Dumfries,55.0415437,-3.6594178
T/LA/1149,Dumfries,55.0415437,-3.6594178
T/LA/1151,Dumfries,55.0415437,-3.6594178
T/LA/1161,Dumfries,55.0415437,-3.6594178
T/LA/1162,Dumfries,55.0415437,-3.6594178
T/LA/1617,Dumfries,55.0415437,-3.6594178
