ConfessionRef,Trialref,CentralTrialConfession,Confessionrec,Confessiondate_as_date,Confessionlocation,Confessiontext,Confessiondetails,Confessionret
CF/JO/1,T/JO/2,0,1,4/19/1943 0:00:00,Haddington,0,1,0
CF/JO/100,T/JO/180,0,1,6/19/1950 0:00:00,Haddington,0,0,0
CF/JO/101,T/JO/181,0,1,6/19/1960 0:00:00,Haddington,0,0,0
CF/JO/102,T/JO/182,0,1,6/26/1950 0:00:00,Haddington,0,0,0
CF/JO/103,T/JO/183,0,1,6/26/1950 0:00:00,Haddington,0,0,0
CF/JO/104,T/JO/184,0,1,6/26/1950 0:00:00,Haddington,0,0,0
CF/JO/105,T/JO/185,0,1,6/26/1950 0:00:00,Haddington,0,0,0
CF/JO/106,T/JO/186,0,1,6/26/1950 0:00:00,Haddington,0,0,0
CF/JO/107,T/JO/187,0,1,6/26/1950 0:00:00,Haddington,0,0,0
CF/JO/108,T/JO/188,0,1,6/26/1950 0:00:00,Haddington,0,0,0
CF/JO/109,T/JO/189,0,1,6/26/1950 0:00:00,Haddington,0,0,0
CF/JO/110,T/JO/190,0,1,7/4/1950 0:00:00,Haddington,0,0,0
CF/JO/111,T/JO/193,0,1,7/4/1950 0:00:00,Haddington,0,0,0
CF/JO/112,T/JO/194,0,1,7/4/1950 0:00:00,Haddington,0,0,0
CF/JO/113,T/JO/195,0,1,7/4/1950 0:00:00,Haddington,0,0,0
CF/JO/114,T/JO/196,0,1,7/4/1950 0:00:00,Haddington,0,0,0
CF/JO/115,T/JO/197,0,1,7/4/1950 0:00:00,Haddington,0,0,0
CF/JO/116,T/JO/198,0,1,7/4/1950 0:00:00,Haddington,0,0,0
CF/JO/117,T/JO/199,0,1,7/4/1950 0:00:00,Haddington,0,0,0
CF/JO/118,T/JO/200,0,1,7/8/1950 0:00:00,Tranent,0,0,0
CF/JO/119,T/JO/201,0,1,7/17/1950 0:00:00,Haddington,0,0,0
CF/JO/120,T/JO/202,0,1,7/17/1950 0:00:00,Haddington,0,0,0
CF/JO/121,T/JO/203,0,1,6/1/1997 0:00:00,Foveran,0,0,0
CF/JO/122,T/JO/205,0,1,6/1/1973 0:00:00,,0,0,0
CF/JO/142,T/JO/307,0,1,10/9/2028 0:00:00,Dalkeith,0,0,0
CF/JO/143,T/JO/305,0,1,9/4/2028 0:00:00,Dalkeith,0,1,0
CF/JO/144,T/JO/304,0,1,9/4/2028 0:00:00,Dalkeith,0,1,0
CF/JO/145,T/JO/306,0,1,9/4/2028 0:00:00,Dalkeith,0,1,0
CF/JO/146,T/JO/308,0,1,10/9/2028 0:00:00,Dalkeith,0,1,0
CF/JO/147,T/JO/309,0,1,11/20/2028 0:00:00,Dalkeith,0,0,0
CF/JO/148,T/JO/310,0,1,11/20/2028 0:00:00,Dalkeith,0,1,0
CF/JO/149,T/JO/311,0,1,11/20/2028 0:00:00,Dalkeith,0,0,0
CF/JO/150,T/JO/312,0,1,11/20/2028 0:00:00,Dalkeith,0,1,0
CF/JO/151,T/JO/313,0,1,11/20/2028 0:00:00,Dalkeith,0,1,0
CF/JO/152,T/JO/314,0,1,11/20/2028 0:00:00,Dalkeith,0,1,0
CF/JO/153,T/JO/315,0,1,11/20/2028 0:00:00,Dalkeith,0,1,0
CF/JO/154,T/JO/333,0,1,4/29/1930 0:00:00,Crichton,0,0,0
CF/JO/155,T/JO/345,0,1,2/1/1941 0:00:00,,0,0,0
CF/JO/156,T/JO/346,0,1,7/1/1943 0:00:00,Carrington,0,0,0
CF/JO/157,T/JO/347,0,1,7/1/1943 0:00:00,Carrington,0,0,0
CF/JO/158,T/JO/348,0,1,8/1/1949 0:00:00,Fala,0,0,0
CF/JO/159,T/JO/349,0,1,8/1/1949 0:00:00,Ormiston,0,0,0
CF/JO/160,T/JO/350,0,1,8/1/1949 0:00:00,Ormiston,0,0,0
CF/JO/161,T/JO/351,0,1,9/1/1949 0:00:00,Borthwick,0,0,0
CF/JO/162,T/JO/352,0,1,9/1/1949 0:00:00,Newton,0,0,0
CF/JO/163,T/JO/353,0,1,9/1/1949 0:00:00,,0,0,0
CF/JO/164,T/JO/354,0,1,9/1/1949 0:00:00,,0,0,0
CF/JO/165,T/JO/355,0,1,9/1/1949 0:00:00,,0,0,0
CF/JO/166,T/JO/356,0,1,9/1/1949 0:00:00,,0,0,0
CF/JO/169,T/JO/359,0,1,10/1/1949 0:00:00,,0,0,0
CF/JO/170,T/JO/360,0,1,10/1/1949 0:00:00,,0,0,0
CF/JO/171,T/JO/361,0,1,10/1/1949 0:00:00,,0,0,0
CF/JO/172,T/JO/362,0,1,10/1/1949 0:00:00,,0,0,0
CF/JO/173,T/JO/363,0,1,10/1/1949 0:00:00,,0,0,0
CF/JO/174,T/JO/364,0,1,10/1/1949 0:00:00,,0,0,0
CF/JO/175,T/JO/366,0,1,10/1/1949 0:00:00,,0,0,0
CF/JO/176,T/JO/367,0,1,10/1/1949 0:00:00,,0,0,0
CF/JO/177,T/JO/368,0,1,10/1/1949 0:00:00,,0,0,0
CF/JO/178,T/JO/370,0,1,11/15/1949 0:00:00,Dalkeith,0,0,0
CF/JO/179,T/JO/371,0,1,11/15/1949 0:00:00,Dalkeith,0,0,0
CF/JO/18,T/JO/91,0,1,6/1/1949 0:00:00,Dirleton,0,0,0
CF/JO/180,T/JO/372,0,1,11/15/1949 0:00:00,Dalkeith,0,0,0
CF/JO/181,T/JO/373,0,1,11/15/1949 0:00:00,Dalkeith,0,0,0
CF/JO/182,T/JO/374,0,1,11/15/1949 0:00:00,Dalkeith,0,0,0
CF/JO/183,T/JO/375,0,1,11/15/1949 0:00:00,,0,0,0
