CounterStrategyRef,CaseRef,CounterStrategy_Type
CS/JO/15,C/JO/2846,Appeasement
CS/JO/16,C/EGD/1770,Appeasement
CS/JO/31,C/EGD/2269,Appeasement
CS/JO/32,C/JO/2959,Appeasement
CS/JO/33,C/EGD/1848,Appeasement
CS/JO/34,C/EGD/1025,Appeasement
CS/JO/35,C/EGD/2361,Appeasement
CS/JO/36,C/EGD/2159,Appeasement
CS/JO/38,C/EGD/2287,Appeasement
CS/JO/39,C/EGD/2327,Appeasement
CS/JO/44,C/JO/3073,Appeasement
CS/JO/45,C/JO/3085,Appeasement
CS/JO/68,C/JO/3246,Appeasement
CS/JO/71,C/EGD/217,Prayer
CS/LA/1,C/EGD/160,Community Healer
CS/LA/10,C/EGD/401,Appeasement
CS/LA/11,C/EGD/434,Appeasement
CS/LA/12,C/EGD/409,Appeasement
CS/LA/13,C/EGD/409,Counter-magic
CS/LA/14,C/EGD/409,Prayer
CS/LA/17,C/EGD/132,Protective magic
CS/LA/18,C/EGD/141,Appeasement
CS/LA/20,C/EGD/141,Community Healer
CS/LA/21,C/EGD/147,Appeasement
CS/LA/22,C/EGD/133,Counter-magic
CS/LA/23,C/EGD/133,Appeasement
CS/LA/24,C/EGD/1339,Appeasement
CS/LA/25,C/EGD/1364,Appeasement
CS/LA/26,C/EGD/964,Counter-magic
CS/LA/27,C/EGD/791,Prayer
CS/LA/28,C/EGD/791,Appeasement
CS/LA/29,C/EGD/790,Appeasement
CS/LA/3,C/EGD/170,Scratching
CS/LA/32,C/LA/2975,Appeasement
CS/LA/34,C/EGD/737,Appeasement
CS/LA/36,C/EGD/162,Appeasement
CS/LA/37,C/EGD/315,Protective magic
CS/LA/38,C/EGD/963,Counter-magic
CS/LA/39,C/EGD/963,Protective magic
CS/LA/4,C/EGD/183,Appeasement
CS/LA/40,C/EGD/963,Appeasement
CS/LA/41,C/EGD/964,Appeasement
CS/LA/42,C/EGD/2264,Counter-magic
CS/LA/43,C/EGD/2219,Counter-magic
CS/LA/46,C/EGD/217,Prayer
CS/LA/47,C/EGD/2410,Appeasement
CS/LA/48,C/EGD/208,Appeasement
CS/LA/49,C/EGD/184,Appeasement
CS/LA/5,C/EGD/156,Appeasement
CS/LA/50,C/EGD/1605,Scratching
CS/LA/51,C/EGD/786,Advice Sought
CS/LA/52,C/EGD/786,Counter-magic
CS/LA/53,C/EGD/785,Prayer
CS/LA/54,C/EGD/785,Counter-magic
CS/LA/55,C/EGD/783,Counter-magic
CS/LA/56,C/EGD/316,Protective magic
CS/LA/57,C/LA/2949,Appeasement
CS/LA/58,C/EGD/316,Appeasement
CS/LA/59,C/EGD/789,Protective magic
CS/LA/6,C/EGD/173,Counter-magic
CS/LA/60,C/EGD/794,Appeasement
CS/LA/61,C/EGD/794,Prayer
CS/LA/62,C/LA/3135,Counter-magic
CS/LA/63,C/EGD/796,Counter-magic
CS/LA/64,C/EGD/798,Prayer
CS/LA/65,C/EGD/142,Appeasement
CS/LA/66,C/EGD/323,Appeasement
CS/LA/67,C/EGD/782,Appeasement
CS/LA/68,C/EGD/587,Prayer
CS/LA/69,C/EGD/587,Counter-magic
CS/LA/7,C/EGD/385,Appeasement
CS/LA/70,C/LA/3135,Appeasement
CS/LA/71,C/JO/2887,Scratching
CS/LA/72,C/LA/2636,Counter-magic
CS/LA/73,C/EGD/2476,Appeasement
CS/LA/74,C/EGD/1225,Counter-magic
CS/LA/8,C/EGD/402,Appeasement
CS/LA/9,C/EGD/401,Community Healer
