MusicalInstrumentRef,CaseRef,MusicalInstrument_Type,MusicalInstrument_Text
MI/JO/1,C/EGD/2121,Unspecified,
MI/JO/15,C/JO/2905,Pipe,
MI/JO/2,C/JO/2830,Pipe,
MI/JO/74,C/EGD/2153,Unspecified,
MI/JO/75,C/EGD/2119,Unspecified,mouth instrument
MI/JO/76,C/EGD/2161,Unspecified,invisible instrument
MI/JO/77,C/EGD/2162,Unspecified,
MI/JO/79,C/EGD/2130,Unspecified,
MI/JO/80,C/EGD/2122,Unspecified,
MI/JO/81,C/EGD/2141,Unspecified,
MI/JO/82,C/EGD/294,Whistle,played by James Kirk
MI/JO/83,C/EGD/357,Whistle,
MI/JO/86,C/JO/3247,Trump,McIllmichall played this
MI/LA/10,C/EGD/693,Pipe,
MI/LA/12,C/EGD/692,Pipe,
MI/LA/13,C/EGD/613,Pipe,
MI/LA/14,C/EGD/34,Pipe,
MI/LA/15,C/EGD/63,Trump,
MI/LA/2,C/EGD/374,Pipe,
MI/LA/3,C/EGD/370,,Playing
MI/LA/4,C/LA/2798,Pipe,
MI/LA/46,C/EGD/110,Trump,
MI/LA/5,C/EGD/609,Pipe,Devil played it
MI/LA/52,C/EGD/103,Trump,
MI/LA/53,C/EGD/107,Trump,
MI/LA/54,C/EGD/1773,Pipe,Devil played it
MI/LA/55,C/LA/2959,Pipe,
MI/LA/56,C/EGD/1778,Pipe,played by the Devil
MI/LA/57,C/EGD/1781,Pipe,played by the Devil
MI/LA/58,C/EGD/1774,Pipe,devil played
MI/LA/59,C/EGD/1780,Pipe,devil played it
MI/LA/6,C/EGD/606,Pipe,Devil played it
MI/LA/60,C/EGD/1935,Pipe,devil played
MI/LA/61,C/LA/2968,Pipe,devil played
MI/LA/62,C/LA/2969,Pipe,Devil played it.
MI/LA/63,C/LA/2970,Pipe,devil played it.
MI/LA/64,C/LA/2972,Pipe,the devil played it
MI/LA/65,C/EGD/1779,Pipe,devil played it
MI/LA/66,C/LA/2973,Pipe,devil played it
MI/LA/67,C/LA/2974,Pipe,devil played it
MI/LA/68,C/LA/2975,Pipe,devil played it
MI/LA/69,C/LA/2976,Pipe,devil playe it
MI/LA/7,C/EGD/607,Pipe,Devil played it
MI/LA/70,C/LA/2977,Pipe,devil played it
MI/LA/71,C/LA/2978,Pipe,devil played it
MI/LA/72,C/LA/2979,Pipe,devil played it
MI/LA/73,C/LA/2980,Pipe,devil played it
MI/LA/8,C/EGD/608,Pipe,Devil played it
MI/LA/82,C/EGD/702,Pipe,
MI/LA/84,C/EGD/319,Whistle,The Devil played it
MI/LA/85,C/EGD/346,Pipe,
