PropertyDamageRef,CaseRef,PropertyDamage_Type
PD/JO/1,C/EGD/2120,Whole Estate
PD/JO/137,C/JO/2928,Animals
PD/JO/138,C/EGD/1820,Animals
PD/JO/140,C/EGD/2260,Boats
PD/JO/141,C/EGD/2260,Meal
PD/JO/142,C/EGD/2259,Boats
PD/JO/143,C/EGD/2011,Meal
PD/JO/144,C/EGD/2011,Dairy
PD/JO/145,C/EGD/2387,Ale
PD/JO/146,C/EGD/2387,Dairy
PD/JO/147,C/JO/2959,Boats
PD/JO/148,C/JO/2959,Dairy
PD/JO/149,C/JO/2959,Mill
PD/JO/15,C/EGD/2121,Whole Estate
PD/JO/150,C/EGD/1848,Animals
PD/JO/151,C/EGD/1848,Dairy
PD/JO/152,C/EGD/1284,Dairy
PD/JO/153,C/EGD/1025,Ale
PD/JO/155,C/EGD/745,Fishing
PD/JO/156,C/JO/3012,Crops
PD/JO/157,C/JO/3025,Animals
PD/JO/158,C/JO/3025,Plough
PD/JO/159,C/EGD/2119,Dairy
PD/JO/160,C/EGD/2119,Mill
PD/JO/161,C/EGD/2119,Whole Estate
PD/JO/162,C/EGD/2119,Crops
PD/JO/163,C/EGD/2150,Dairy
PD/JO/164,C/EGD/2172,Dairy
PD/JO/165,C/EGD/2172,Crops
PD/JO/166,C/EGD/2159,Dairy
PD/JO/167,C/EGD/2159,Whole Estate
PD/JO/168,C/EGD/2160,Dairy
PD/JO/169,C/EGD/2168,Plough
PD/JO/170,C/EGD/2168,Animals
PD/JO/171,C/EGD/2168,Whole Estate
PD/JO/172,C/JO/3035,Whole Estate
PD/JO/173,C/EGD/2154,Animals
PD/JO/174,C/EGD/2123,Whole Estate
PD/JO/175,C/EGD/2123,Mill
PD/JO/176,C/EGD/2312,Crops
PD/JO/177,C/EGD/2286,Dairy
PD/JO/178,C/EGD/2306,Dairy
PD/JO/179,C/EGD/2306,Crops
PD/JO/180,C/EGD/2285,Whole Estate
PD/JO/181,C/EGD/2327,Crops
PD/JO/182,C/EGD/2327,Dairy
PD/JO/183,C/EGD/2327,Boats
PD/JO/191,C/JO/3058,Animals
PD/JO/192,C/JO/3061,Dairy
PD/JO/193,C/JO/3086,Animals
PD/JO/194,C/JO/3086,Crops
PD/JO/195,C/JO/3086,Whole Estate
PD/JO/196,C/EGD/297,Animals
PD/JO/197,C/EGD/2148,Mill
PD/JO/198,C/EGD/2149,Mill
PD/JO/199,C/EGD/2158,Animals
PD/JO/2,C/EGD/2120,Ale
PD/JO/200,C/EGD/2158,Whole Estate
PD/JO/201,C/EGD/2158,Mill
PD/JO/202,C/EGD/2374,Animals
PD/JO/203,C/EGD/2374,Dairy
PD/JO/204,C/JO/3107,Dairy
PD/JO/205,C/JO/3107,Crops
PD/JO/206,C/JO/3095,Dairy
PD/JO/207,C/JO/3093,Whole Estate
PD/JO/208,C/EGD/381,Animals
PD/JO/209,C/JO/3151,Animals
PD/JO/210,C/JO/3159,Dairy
PD/JO/217,C/EGD/1533,Boats
PD/JO/218,C/JO/3246,Dairy
PD/JO/219,C/JO/3246,Crops
PD/JO/220,C/EGD/1168,Mill
PD/JO/221,C/EGD/2264,Whole Estate
PD/JO/224,C/EGD/385,Coal Pit
PD/JO/3,C/JO/2632,Animals
PD/JO/39,C/EGD/400,Dairy
PD/JO/40,C/EGD/1861,Dairy
PD/JO/41,C/EGD/1861,Animals
PD/JO/42,C/EGD/1861,Buildings
PD/JO/43,C/EGD/1770,Dairy
PD/JO/44,C/EGD/1770,Animals
PD/JO/45,C/EGD/1770,Ale
PD/JO/46,C/EGD/1770,Whole Estate
PD/LA/1,C/EGD/160,Ale
PD/LA/10,C/EGD/162,Crops
PD/LA/11,C/EGD/166,Crops
PD/LA/114,C/EGD/110,Boats
PD/LA/122,C/EGD/147,Boats
PD/LA/125,C/EGD/104,Boats
PD/LA/126,C/EGD/104,Animals
PD/LA/127,C/EGD/1268,Animals
PD/LA/128,C/EGD/1268,Dairy
PD/LA/129,C/EGD/1339,Ale
PD/LA/130,C/EGD/1364,Boats
PD/LA/131,C/EGD/1364,Animals
PD/LA/132,C/EGD/963,Crops
PD/LA/133,C/EGD/963,Ale
PD/LA/134,C/EGD/963,Animals
PD/LA/135,C/EGD/964,Crops
PD/LA/136,C/EGD/964,Animals
PD/LA/14,C/EGD/183,Whole Estate
PD/LA/153,C/EGD/739,Dairy
PD/LA/154,C/EGD/739,Mill
PD/LA/157,C/EGD/162,Malt
PD/LA/16,C/EGD/173,Mill
PD/LA/17,C/EGD/173,Boats
PD/LA/172,C/EGD/435,Buildings
PD/LA/176,C/EGD/434,Meal
