WeatherModificationRef,CaseRef,WeatherModification_Type
WM/JO/100,C/EGD/2259,Storm
WM/JO/101,C/EGD/2162,Storm
WM/JO/105,C/EGD/1533,Storm
WM/JO/6,C/JO/2882,
WM/JO/7,C/JO/2883,Whirlwind
WM/LA/1,C/EGD/160,Storm
WM/LA/102,C/EGD/184,Storm
WM/LA/103,C/EGD/783,Storm
WM/LA/104,C/EGD/1558,Wind
WM/LA/106,C/EGD/1224,Tempest
WM/LA/107,C/EGD/1225,Tempest
WM/LA/12,C/EGD/63,Wind
WM/LA/2,C/EGD/162,Storm
WM/LA/3,C/EGD/165,Storm
WM/LA/4,C/EGD/434,Whirlwind
WM/LA/5,C/EGD/409,Whirlwind
WM/LA/74,C/EGD/110,Wind
WM/LA/75,C/EGD/110,Storm
WM/LA/8,C/EGD/59,Wind
WM/LA/9,C/EGD/59,Whirlwind
WM/LA/92,C/EGD/147,Wind
WM/LA/93,C/EGD/147,Storm
WM/LA/98,C/EGD/104,Wind
WM/LA/99,C/EGD/104,Storm
