MeetingPlaceRef,CaseRef,MeetingPlace_Place,Inversion,Location
MP/JO/137,C/EGD/1954,Yard,0,own house
MP/JO/138,C/EGD/402,,0,going to Edinburgh
MP/JO/139,C/JO/2830,,0,moremaddenhole' Leith
MP/JO/140,C/JO/2830,,0,the 'Latch' Edinburgh
MP/JO/141,C/JO/2830,Burn,0,
MP/JO/142,C/LA/2786,,0,Windygoul
MP/JO/143,C/LA/2786,Hilltop,0,Parson's Knoll
MP/JO/146,C/EGD/402,House,0,her own house
MP/JO/147,C/EGD/402,,0,Jock's Lodge
MP/JO/148,C/LA/2785,House yard,0,own house
MP/JO/149,C/LA/2785,House,0,in bedroom
MP/JO/150,C/EGD/395,House,0,own house
MP/JO/151,C/EGD/397,Loch,0,"lochside, beside meadow"
MP/JO/152,C/EGD/401,Hilltop,0,Gallolaw
MP/JO/153,C/EGD/401,,0,Jock's Lodge
MP/JO/154,C/EGD/1954,Road,0,Restalrig Loan
MP/JO/157,C/EGD/398,House,0,own house window
MP/JO/158,C/EGD/401,Burn,0,North Meadow burn
MP/JO/159,C/EGD/396,Yard,0,Andrew Simmon's whinns
MP/JO/160,C/EGD/400,Mill,0,Breastmilne'
MP/JO/165,C/EGD/400,,0,Brownesmith?
MP/JO/170,C/JO/2846,Coalpit,0,Southhundall?
MP/JO/173,C/EGD/1298,Burn,0,Swynisburne
MP/JO/174,C/EGD/1817,House,0,mother's house
MP/JO/175,C/EGD/2005,Hilltop,0,Gallowberry Hill
MP/JO/176,C/EGD/1859,Hilltop,0,Gallowberry Hill
MP/JO/177,C/EGD/1860,,0,Kirkurd
MP/JO/178,C/JO/2882,House,0,own house
MP/JO/179,C/JO/2882,Bridge,0,Lintoun Bridge
MP/JO/294,C/EGD/1367,Haugh,0,Samuelston
MP/JO/295,C/EGD/1367,House,0,Own house
MP/JO/296,C/EGD/1368,Burn,0,black burn beside Calfward
MP/JO/297,C/EGD/1368,Moor,0,Begbiemure
MP/JO/298,C/EGD/1368,Moor,0,Overboltonmure
MP/JO/299,C/EGD/1368,Burn,0,Kirkland burn
MP/JO/300,C/EGD/1375,House,0,own house
MP/JO/301,C/EGD/1375,Moor,0,Boltonmure
MP/JO/302,C/EGD/1375,Haugh,0,Samuelston
MP/JO/303,C/EGD/1375,Moor,0,Pilmure
MP/JO/304,C/EGD/1375,Burn,0,Black burn of Bolton
MP/JO/305,C/EGD/1375,Moor,0,Begbiemure
MP/JO/306,C/EGD/1372,House,0,outside own house
MP/JO/307,C/EGD/1372,Moor,0,Baigbiemure
MP/JO/308,C/EGD/1372,Burn,0,Black burn of Bolton
MP/JO/309,C/EGD/1373,Moor,0,Baigbiemure
MP/JO/310,C/EGD/1373,Burn,0,Black burn
MP/JO/311,C/JO/2905,House,0,Elizabeth Lawson's house
MP/JO/312,C/JO/2905,Yard,0,great yard of Blause
MP/JO/313,C/JO/2905,Burn,0,Black burn
MP/JO/314,C/JO/2905,Well,0,Cadger well
MP/JO/315,C/EGD/1374,Burn,0,Black burn of Bolton
MP/JO/336,C/EGD/1367,Burn,0,Blackburn of Bolton
MP/JO/337,C/EGD/1367,Moor,0,baigbiemure
MP/JO/338,C/EGD/1374,Moor,0,Baigbiemure
MP/JO/36,C/EGD/2121,Mercat Cross,0,Aberdeen
MP/JO/37,C/EGD/1324,House yard,0,Painston
MP/JO/38,C/EGD/1324,Loch,0,Painston
MP/JO/39,C/EGD/1324,Dam,0,Butter Dam
MP/JO/40,C/EGD/1323,Dean bank head,0,Nisbot
MP/JO/41,C/EGD/1323,Moor,0,
MP/JO/42,C/EGD/1323,Moor,0,Gladsmuir
MP/JO/43,C/EGD/1323,House,0,Nisbot
MP/JO/440,C/EGD/1818,Hilltop,0,Gallowbeirnie Hill
MP/JO/451,C/EGD/2387,Mill,0,
MP/JO/452,C/EGD/2387,Bridge,0,
MP/JO/453,C/EGD/2387,Waterside,0,West Mill
MP/JO/454,C/JO/2959,House,0,her own house
MP/JO/455,C/EGD/1848,Moor,0,common moor of Brechin at Lucifer's loch
MP/JO/48,C/JO/2667,Moor,0,Foxton moor
MP/JO/49,C/JO/2668,Moor,0,Foxton moor
MP/JO/50,C/EGD/1337,,0,
MP/JO/550,C/EGD/2153,Hilltop,0,Hill of Cragleauche
MP/JO/551,C/EGD/2119,Mercat Cross,0,Aberdeen
MP/JO/552,C/EGD/2119,Fish cross,0,Aberdeen
MP/JO/553,C/EGD/2119,Meal market,0,Aberdeen
MP/JO/554,C/EGD/2159,Jail,0,Slains
MP/JO/555,C/EGD/2159,Loch,0,near her house
MP/JO/556,C/EGD/2163,,0,between Lumphanan and Cragleuch
MP/JO/558,C/EGD/2154,,0,Craigleauch
MP/JO/561,C/EGD/2161,Foot of hill,0,Craigleuch
MP/JO/562,C/EGD/2162,Hilltop,0,Hill of Cragleuche
MP/JO/565,C/EGD/2130,Yard,0,Lammyntownis yard
MP/JO/566,C/EGD/2130,yard,0,James Thomsoun's yard
MP/JO/567,C/EGD/2130,Cross,0,Fish cross
MP/JO/568,C/EGD/2130,Mercat Cross,0,meal market
MP/JO/569,C/EGD/2122,Yard,0,James Thomsouns's yard
MP/JO/570,C/EGD/2122,Cross,0,Fish cross
MP/JO/571,C/EGD/2122,Mercat Cross,0,meal market
MP/JO/572,C/EGD/2123,Yard,0,James Thomsoun's yard
MP/JO/573,C/EGD/2123,Cross,0,Fish cross
MP/JO/574,C/EGD/2123,Mercat Cross,0,meal mercat
MP/JO/575,C/EGD/2141,House,0,own house
MP/JO/576,C/EGD/2141,Field,0,assorted fields
MP/JO/577,C/JO/3046,Links,0,Links of Muness
MP/JO/582,C/JO/3059,,0,between mill and park
MP/JO/583,C/JO/3059,Hilltop,0,above Kincardine
MP/JO/584,C/JO/3068,House,0,neighbour's house
MP/JO/585,C/EGD/297,House,0,neighbour's house
MP/JO/586,C/EGD/297,Cross,0,Alloa cross
MP/JO/587,C/EGD/297,,0,Cunigar?
MP/JO/588,C/EGD/297,Barn,0,at barn door
MP/JO/589,C/EGD/297,House,0,other person's house
MP/JO/590,C/EGD/294,Meadow,0,
MP/JO/591,C/EGD/294,Burn,0,Bagraburn
MP/JO/592,C/EGD/294,House,0,other people's houses
MP/JO/593,C/EGD/291,Meadow,0,
MP/JO/594,C/EGD/291,House,0,other people's house
MP/JO/595,C/EGD/293,Meadow,0,
MP/JO/596,C/EGD/293,Burn,0,Bagraburn
MP/JO/597,C/EGD/293,House,0,other person's house
MP/JO/598,C/EGD/293,Barn,0,
MP/JO/599,C/EGD/1746,House,0,own house
MP/JO/600,C/EGD/2373,Town wall,0,"town wall at West Post, Edinburgh"
MP/JO/601,C/EGD/2373,Quarry,0,Quarrell hole (quarry)
MP/JO/602,C/EGD/2373,,0,place of Merchiston
MP/JO/603,C/EGD/1813,Hilltop,0,Corstorphine hill
MP/JO/604,C/EGD/1813,Park,0,
MP/JO/605,C/EGD/1628,Park,0,
